iter	Passed	Remaining
0	138	138147
1	141	70410
2	143	47816
3	146	36443
4	148	29618
5	151	25109
6	154	21867
7	156	19435
8	159	17535
9	162	16064
10	165	14872
11	167	13761
12	169	12899
13	172	12159
14	175	11499
15	178	10967
16	181	10472
17	184	10069
18	187	9669
19	189	9308
20	192	8972
21	195	8680
22	197	8400
23	200	8161
24	203	7927
25	205	7706
26	208	7505
27	211	7328
28	213	7148
29	216	6997
30	219	6851
31	220	6680
32	223	6549
33	225	6420
34	228	6299
35	230	6185
36	233	6081
37	236	5979
38	238	5885
39	241	5794
40	244	5708
41	246	5629
42	249	5548
43	251	5468
44	254	5404
45	257	5333
46	260	5276
47	262	5211
48	265	5150
49	267	5090
50	270	5035
51	273	4984
52	275	4930
53	278	4882
54	281	4834
55	284	4791
56	287	4754
57	290	4715
58	293	4679
59	296	4643
60	299	4603
61	301	4563
62	304	4528
63	307	4496
64	310	4462
65	312	4427
66	314	4375
67	316	4344
68	318	4298
69	321	4266
70	323	4236
71	326	4205
72	328	4176
73	331	4146
74	333	4116
75	336	4090
76	338	4062
77	341	4036
78	344	4018
79	347	3996
80	350	3972
81	352	3950
82	355	3927
83	357	3903
84	360	3880
85	362	3849
86	364	3827
87	367	3806
88	369	3785
89	372	3768
90	375	3748
91	378	3732
92	380	3713
93	383	3697
94	385	3669
95	386	3643
96	389	3629
97	392	3616
98	395	3601
99	398	3584
100	400	3569
101	403	3553
102	407	3547
103	410	3536
104	413	3525
105	417	3521
106	420	3512
107	424	3504
108	427	3493
109	430	3481
110	433	3475
111	436	3464
112	440	3455
113	443	3445
114	446	3436
115	449	3427
116	452	3417
117	456	3409
118	459	3399
119	462	3392
120	465	3384
121	469	3375
122	470	3358
123	474	3349
124	477	3345
125	481	3337
126	484	3328
127	487	3323
128	490	3313
129	493	3300
130	495	3288
131	498	3279
132	501	3268
133	504	3263
134	508	3257
135	512	3252
136	515	3247
137	518	3238
138	521	3231
139	524	3224
140	527	3215
141	530	3205
142	533	3194
143	535	3184
144	538	3174
145	541	3166
146	543	3152
147	546	3147
148	549	3139
149	558	3162
150	561	3159
151	565	3157
152	570	3158
153	576	3167
154	583	3179
155	588	3183
